Minimun number of edges: 1
Maximun number of edges: 2552
Avergae number of edges: 12.273147697400448
Median number of edges: 2
0 nodes have 0 edges
28499 nodes have 1 edges
12615 nodes have 2 edges
7253 nodes have 3 edges
4718 nodes have 4 edges
3388 nodes have 5 edges
2543 nodes have 6 edges
2088 nodes have 7 edges
1736 nodes have 8 edges
1454 nodes have 9 edges
1242 nodes have 10 edges
1070 nodes have 11 edges
953 nodes have 12 edges
850 nodes have 13 edges
796 nodes have 14 edges
685 nodes have 15 edges
605 nodes have 16 edges
555 nodes have 17 edges
500 nodes have 18 edges
457 nodes have 19 edges
436 nodes have 20 edges
401 nodes have 21 edges
333 nodes have 22 edges
328 nodes have 23 edges
287 nodes have 24 edges
289 nodes have 25 edges
277 nodes have 26 edges
257 nodes have 27 edges
260 nodes have 28 edges
235 nodes have 29 edges
221 nodes have 30 edges
186 nodes have 31 edges
227 nodes have 32 edges
186 nodes have 33 edges
183 nodes have 34 edges
159 nodes have 35 edges
159 nodes have 36 edges
151 nodes have 37 edges
135 nodes have 38 edges
147 nodes have 39 edges
123 nodes have 40 edges
122 nodes have 41 edges
118 nodes have 42 edges
109 nodes have 43 edges
114 nodes have 44 edges
128 nodes have 45 edges
103 nodes have 46 edges
92 nodes have 47 edges
100 nodes have 48 edges
100 nodes have 49 edges
110 nodes have 50 edges
90 nodes have 51 edges
85 nodes have 52 edges
84 nodes have 53 edges
83 nodes have 54 edges
77 nodes have 55 edges
88 nodes have 56 edges
69 nodes have 57 edges
54 nodes have 58 edges
73 nodes have 59 edges
50 nodes have 60 edges
66 nodes have 61 edges
54 nodes have 62 edges
54 nodes have 63 edges
38 nodes have 64 edges
51 nodes have 65 edges
50 nodes have 66 edges
40 nodes have 67 edges
63 nodes have 68 edges
53 nodes have 69 edges
41 nodes have 70 edges
37 nodes have 71 edges
39 nodes have 72 edges
44 nodes have 73 edges
44 nodes have 74 edges
40 nodes have 75 edges
36 nodes have 76 edges
42 nodes have 77 edges
34 nodes have 78 edges
38 nodes have 79 edges
32 nodes have 80 edges
27 nodes have 81 edges
35 nodes have 82 edges
36 nodes have 83 edges
42 nodes have 84 edges
26 nodes have 85 edges
20 nodes have 86 edges
35 nodes have 87 edges
29 nodes have 88 edges
28 nodes have 89 edges
20 nodes have 90 edges
28 nodes have 91 edges
22 nodes have 92 edges
15 nodes have 93 edges
32 nodes have 94 edges
29 nodes have 95 edges
34 nodes have 96 edges
22 nodes have 97 edges
19 nodes have 98 edges
21 nodes have 99 edges
28 nodes have 100 edges
17 nodes have 101 edges
20 nodes have 102 edges
23 nodes have 103 edges
19 nodes have 104 edges
20 nodes have 105 edges
20 nodes have 106 edges
15 nodes have 107 edges
22 nodes have 108 edges
18 nodes have 109 edges
24 nodes have 110 edges
23 nodes have 111 edges
16 nodes have 112 edges
12 nodes have 113 edges
11 nodes have 114 edges
10 nodes have 115 edges
13 nodes have 116 edges
22 nodes have 117 edges
15 nodes have 118 edges
19 nodes have 119 edges
14 nodes have 120 edges
18 nodes have 121 edges
20 nodes have 122 edges
11 nodes have 123 edges
11 nodes have 124 edges
21 nodes have 125 edges
14 nodes have 126 edges
21 nodes have 127 edges
13 nodes have 128 edges
15 nodes have 129 edges
18 nodes have 130 edges
14 nodes have 131 edges
11 nodes have 132 edges
10 nodes have 133 edges
13 nodes have 134 edges
17 nodes have 135 edges
10 nodes have 136 edges
11 nodes have 137 edges
10 nodes have 138 edges
11 nodes have 139 edges
10 nodes have 140 edges
7 nodes have 141 edges
9 nodes have 142 edges
15 nodes have 143 edges
11 nodes have 144 edges
7 nodes have 145 edges
15 nodes have 146 edges
14 nodes have 147 edges
12 nodes have 148 edges
8 nodes have 149 edges
11 nodes have 150 edges
10 nodes have 151 edges
8 nodes have 152 edges
11 nodes have 153 edges
17 nodes have 154 edges
11 nodes have 155 edges
2 nodes have 156 edges
9 nodes have 157 edges
7 nodes have 158 edges
12 nodes have 159 edges
10 nodes have 160 edges
11 nodes have 161 edges
6 nodes have 162 edges
4 nodes have 163 edges
6 nodes have 164 edges
6 nodes have 165 edges
10 nodes have 166 edges
8 nodes have 167 edges
11 nodes have 168 edges
9 nodes have 169 edges
10 nodes have 170 edges
8 nodes have 171 edges
5 nodes have 172 edges
5 nodes have 173 edges
3 nodes have 174 edges
6 nodes have 175 edges
5 nodes have 176 edges
13 nodes have 177 edges
14 nodes have 178 edges
13 nodes have 179 edges
3 nodes have 180 edges
4 nodes have 181 edges
9 nodes have 182 edges
6 nodes have 183 edges
5 nodes have 184 edges
5 nodes have 185 edges
7 nodes have 186 edges
7 nodes have 187 edges
3 nodes have 188 edges
9 nodes have 189 edges
8 nodes have 190 edges
7 nodes have 191 edges
5 nodes have 192 edges
9 nodes have 193 edges
14 nodes have 194 edges
11 nodes have 195 edges
7 nodes have 196 edges
5 nodes have 197 edges
11 nodes have 198 edges
5 nodes have 199 edges
13 nodes have 200 edges
16 nodes have 201 edges
19 nodes have 202 edges
19 nodes have 203 edges
21 nodes have 204 edges
25 nodes have 205 edges
24 nodes have 206 edges
14 nodes have 207 edges
17 nodes have 208 edges
11 nodes have 209 edges
13 nodes have 210 edges
15 nodes have 211 edges
